ExpectedReturn,Volatility,SharpeRatio
-0.285654,0.184555,-1.65617
-0.253036,0.163359,-1.67139
-0.220419,0.142447,-1.68777
-0.187801,0.121967,-1.70375
-0.155184,0.102177,-1.71452
-0.122566,0.0835687,-1.70597
-0.0899486,0.0692218,-1.58835
-0.057331,0.0671729,-1.15122
-0.0247134,0.063236,-0.707089
0.00790413,0.0621541,-0.194611
0.0405217,0.0587406,0.349362
0.0731393,0.0604508,0.87905
0.105757,0.0628817,1.36378
0.138374,0.0663857,1.78313
0.170992,0.0705032,2.14163
0.20361,0.0751439,2.44344
0.236227,0.0827266,2.61376
0.268845,0.0911928,2.72878
0.301462,0.100107,2.81161
0.33408,0.109335,2.87263
0.366697,0.118795,2.91844
0.399315,0.128436,2.95334
0.431933,0.138217,2.98034
0.46455,0.148107,3.00154
0.497168,0.15813,3.01757
0.529785,0.168177,3.03123
0.562403,0.178298,3.04211
0.595021,0.188472,3.05096
0.627638,0.198691,3.0582
0.660256,0.208996,3.06349
0.692873,0.221835,3.03322
0.725491,0.237899,2.9655
